RSPRoomId,SourceHeader,SourcePropertyAddress,SourceRoomId
6575618,襄阳北路,襄阳北路100号502室,5229982
6767822,黄河路,黄河路65号3室,5458514
6759619,黄河路,黄河路65号2室,5458535
2389087,四平路,四平路1950弄4号102室,2843850
2352649,四平路,四平路1950弄4号302室,2843854
2415216,四平路,四平路1950弄5号1310室,2844998
2380145,四平路,四平路1950弄89号103室,2845589
2398452,四平路,四平路1950弄89号303室,2845597
2343788,四平路,四平路1950弄89号403室,2845601
6445345,城中西路,城中西路448弄12号5室,6066871
6446263,城中西路,城中西路448弄4号3室,6034680
6499065,沪青平公路,沪青平公路4625弄48号1室,6192666
6422081,沪青平公路,沪青平公路1655号4室,6453467
6421762,沪青平公路,沪青平公路1655号2室,6453483
5746430,武定西路,武定西路1398弄3号101室,3422386
5746378,武定西路,武定西路1398弄3号102室,3422387
5739195,武定西路,武定西路1398弄3号103室,3422388
5739185,武定西路,武定西路1398弄3号104室,3422389
5746424,武定西路,武定西路1398弄3号105室,3422390
5739212,武定西路,武定西路1398弄3号201室,3422391
5746445,武定西路,武定西路1398弄3号202室,3422392
5739230,武定西路,武定西路1398弄3号203室,3422393
5746410,武定西路,武定西路1398弄3号204室,3422394
5746421,武定西路,武定西路1398弄3号205室,3422395
5739208,武定西路,武定西路1398弄3号301室,3422396
5739236,武定西路,武定西路1398弄3号302室,3422397
5746414,武定西路,武定西路1398弄3号303室,3422398
5746383,武定西路,武定西路1398弄3号304室,3422399
5746372,武定西路,武定西路1398弄3号305室,3422400
5746449,武定西路,武定西路1398弄3号401室,3422401
5739202,武定西路,武定西路1398弄3号402室,3422402
5746415,武定西路,武定西路1398弄3号403室,3422403
5746436,武定西路,武定西路1398弄3号404室,3422404
5746448,武定西路,武定西路1398弄3号405室,3422405
5746365,武定西路,武定西路1398弄3号501室,3422406
5746420,武定西路,武定西路1398弄3号502室,3422407
5746431,武定西路,武定西路1398弄3号503室,3422408
5746398,武定西路,武定西路1398弄3号504室,3422409
5739255,武定西路,武定西路1398弄3号505室,3422410
5739194,武定西路,武定西路1398弄3号601室,3422411
5739241,武定西路,武定西路1398弄3号602室,3422412
5739242,武定西路,武定西路1398弄3号603室,3422413
5746380,武定西路,武定西路1398弄3号604室,3422414
5746442,武定西路,武定西路1398弄3号605室,3422415
5746370,武定西路,武定西路1398弄3号701室,3422416
5739196,武定西路,武定西路1398弄3号702室,3422417
5739197,武定西路,武定西路1398弄3号703室,3422418
5746374,武定西路,武定西路1398弄3号704室,3422419
5746391,武定西路,武定西路1398弄3号705室,3422420
